Timestamp,clones,unique_cloner,views,unique_viewer
2023-10-09 00:00:00,279,10,312,11
2023-10-10 00:00:00,161,4,167,10
2023-10-11 00:00:00,1,1,84,8
2023-10-12 00:00:00,135,11,106,6
2023-10-13 00:00:00,275,10,238,10
2023-10-14 00:00:00,3,3,2,2
2023-10-15 00:00:00,0,0,1,1
2023-10-16 00:00:00,5,4,73,7
2023-10-17 00:00:00,1,1,23,12
2023-10-18 00:00:00,2,1,56,11
2023-10-19 00:00:00,1,1,61,9
2023-10-20 00:00:00,1,1,31,4
2023-10-20 00:00:00,1,1,31,4
2023-10-22 00:00:00,0,0,1,1
2023-10-23 00:00:00,1,1,2,2
2023-10-24 00:00:00,20,2,78,12
2023-10-25 00:00:00,0,0,15,6
2023-10-26 00:00:00,15,3,91,7
2023-10-27 00:00:00,93,7,99,10
2023-10-28 00:00:00,1,1,3,2
2023-10-29 00:00:00,1,1,1,1
2023-10-30 00:00:00,2,2,27,4
2023-10-31 00:00:00,2,1,15,3
2023-11-01 00:00:00,2,2,12,9
2023-11-02 00:00:00,3,3,10,5
2023-11-03 00:00:00,80,4,85,15
2023-11-04 00:00:00,5,4,4,2
2023-11-04 00:00:00,5,4,4,2
2023-11-06 00:00:00,17,3,2,2
2023-11-07 00:00:00,86,8,301,18
2023-11-08 00:00:00,4,4,91,8
2023-11-09 00:00:00,1,1,40,15
2023-11-10 00:00:00,4,2,15,4
2023-11-13 00:00:00,2,2,6,5
2023-11-14 00:00:00,30,1,41,9
2023-11-15 00:00:00,89,10,118,16
2023-11-16 00:00:00,47,1,223,9
2023-11-17 00:00:00,73,9,60,13
2023-11-18 00:00:00,2,2,13,5
2023-11-19 00:00:00,0,0,3,2
2023-11-20 00:00:00,17,3,130,10
2023-11-21 00:00:00,2,2,43,6
2023-11-22 00:00:00,1,1,14,4
2023-11-23 00:00:00,0,0,2,2
2023-11-24 00:00:00,1,1,7,4
2023-11-25 00:00:00,2,2,5,5
2023-11-26 00:00:00,1,1,1,1
2023-11-27 00:00:00,2,2,2,2
2023-11-28 00:00:00,101,7,188,9
2023-11-29 00:00:00,169,10,169,6
2023-11-30 00:00:00,289,10,379,7
2023-12-01 00:00:00,41,7,145,16
2023-12-02 00:00:00,33,3,47,4
2023-12-03 00:00:00,1,1,2,2
2023-12-04 00:00:00,46,13,101,6
2023-12-05 00:00:00,22,4,63,6
2023-12-06 00:00:00,53,6,85,9
2023-12-07 00:00:00,2,2,18,7
2023-12-08 00:00:00,3,3,32,12
2023-12-09 00:00:00,3,3,1,1
2023-12-10 00:00:00,0,0,41,35
2023-12-11 00:00:00,66,4,177,12
2023-12-12 00:00:00,64,4,226,13
2023-12-13 00:00:00,110,3,323,6
2023-12-14 00:00:00,22,4,71,9
2023-12-15 00:00:00,36,4,44,10
2023-12-16 00:00:00,4,3,5,2
2023-12-17 00:00:00,1,1,3,3
2023-12-18 00:00:00,17,2,36,12
2023-12-19 00:00:00,67,4,91,12
2023-12-20 00:00:00,66,5,112,17
2023-12-21 00:00:00,102,8,158,16
2023-12-22 00:00:00,10,5,9,5
2023-12-23 00:00:00,2,2,3,3
2023-12-24 00:00:00,0,0,3,1
2023-12-25 00:00:00,2,1,4,3
2023-12-26 00:00:00,1,1,22,8
2023-12-27 00:00:00,0,0,2,2
2023-12-28 00:00:00,0,0,3,3
2023-12-29 00:00:00,2,2,59,5
2023-12-30 00:00:00,0,0,6,6
2023-12-31 00:00:00,0,0,9,1
2023-12-31 00:00:00,0,0,9,1
2024-01-02 00:00:00,3,2,9,6
2024-01-03 00:00:00,0,0,239,13
2024-01-04 00:00:00,0,0,67,8
2024-01-05 00:00:00,1,1,56,3
2024-01-06 00:00:00,1,1,8,2
2024-01-07 00:00:00,1,1,6,4
2024-01-08 00:00:00,39,5,217,6
2024-01-09 00:00:00,96,5,124,10
2024-01-10 00:00:00,131,12,187,7
2024-01-11 00:00:00,9,6,251,9
2024-01-12 00:00:00,13,5,118,11
2024-01-13 00:00:00,2,2,14,9
2024-01-14 00:00:00,1,1,5,4
2024-01-15 00:00:00,6,4,46,3
2024-01-16 00:00:00,120,1,294,13
2024-01-17 00:00:00,1,1,16,6
2024-01-18 00:00:00,95,5,142,12
2024-01-19 00:00:00,45,8,75,4
2024-01-20 00:00:00,4,4,75,3
2024-01-21 00:00:00,1,1,6,2
2024-01-22 00:00:00,56,7,194,6
2024-01-23 00:00:00,104,7,102,9
2024-01-24 00:00:00,36,4,82,6
2024-01-25 00:00:00,17,2,82,10
2024-01-26 00:00:00,34,3,48,9
2024-01-26 00:00:00,34,3,48,9
2024-01-28 00:00:00,0,0,6,4
